| Year 1, Spring, day 0 8:00:00 AM | evac shelter | Newton Cyr began their journey into the Cataclysm.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Carrying Capacity'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Mind Control'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Carrying Capacity'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Hammerspace'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Silent Walk'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Life Support'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Invisibility'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Vision'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Bionic Installation'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Deodorizer'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Invincibility'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug HVAC'.
| Year 1, Spring, day 0 8:03:12 AM | road | Gained the mutation 'Debug Bionic Power'.
